"Date","Open","High","Low","Close"
"Wed Dec 04 2002 00:00:00 GMT+0530 (India Standard Time)","1055.70","1055.70","1034.00","1036.40"
"Thu Dec 05 2002 00:00:00 GMT+0530 (India Standard Time)","1036.70","1052.40","1036.70","1045.90"
"Fri Dec 06 2002 00:00:00 GMT+0530 (India Standard Time)","1047.50","1072.20","1047.50","1069.80"
"Mon Dec 09 2002 00:00:00 GMT+0530 (India Standard Time)","1070.50","1085.70","1054.90","1058.60"
"Tue Dec 10 2002 00:00:00 GMT+0530 (India Standard Time)","1058.30","1066.00","1045.60","1063.70"
"Wed Dec 11 2002 00:00:00 GMT+0530 (India Standard Time)","1064.00","1076.90","1062.30","1069.70"
"Thu Dec 12 2002 00:00:00 GMT+0530 (India Standard Time)","1069.90","1078.80","1066.80","1077.00"
"Fri Dec 13 2002 00:00:00 GMT+0530 (India Standard Time)","1074.40","1087.30","1074.40","1086.20"
"Mon Dec 16 2002 00:00:00 GMT+0530 (India Standard Time)","1089.00","1100.00","1075.50","1078.40"
"Tue Dec 17 2002 00:00:00 GMT+0530 (India Standard Time)","1078.70","1084.90","1069.00","1073.20"
"Wed Dec 18 2002 00:00:00 GMT+0530 (India Standard Time)","1073.20","1083.60","1072.80","1077.90"
"Thu Dec 19 2002 00:00:00 GMT+0530 (India Standard Time)","1077.80","1079.90","1070.50","1076.00"
"Fri Dec 20 2002 00:00:00 GMT+0530 (India Standard Time)","1075.40","1084.90","1075.40","1079.30"
"Mon Dec 23 2002 00:00:00 GMT+0530 (India Standard Time)","1079.30","1082.50","1073.30","1076.00"
"Tue Dec 24 2002 00:00:00 GMT+0530 (India Standard Time)","1075.90","1087.00","1072.60","1085.00"
"Thu Dec 26 2002 00:00:00 GMT+0530 (India Standard Time)","1085.00","1100.40","1085.00","1094.80"
"Fri Dec 27 2002 00:00:00 GMT+0530 (India Standard Time)","1095.60","1103.90","1095.50","1098.40"
"Mon Dec 30 2002 00:00:00 GMT+0530 (India Standard Time)","1095.80","1095.80","1084.30","1091.90"
"Tue Dec 31 2002 00:00:00 GMT+0530 (India Standard Time)","1091.80","1100.00","1091.70","1093.50"
"Wed Jan 01 2003 00:00:00 GMT+0530 (India Standard Time)","1093.50","1102.00","1093.50","1100.10"
"Thu Jan 02 2003 00:00:00 GMT+0530 (India Standard Time)","1100.50","1105.50","1091.20","1093.00"
"Fri Jan 03 2003 00:00:00 GMT+0530 (India Standard Time)","1094.40","1099.80","1087.30","1089.50"
"Mon Jan 06 2003 00:00:00 GMT+0530 (India Standard Time)","1089.70","1093.00","1081.20","1084.30"
"Tue Jan 07 2003 00:00:00 GMT+0530 (India Standard Time)","1084.40","1089.80","1078.90","1081.80"
"Wed Jan 08 2003 00:00:00 GMT+0530 (India Standard Time)","1082.40","1091.40","1082.30","1089.30"
"Thu Jan 09 2003 00:00:00 GMT+0530 (India Standard Time)","1089.70","1099.10","1087.70","1097.30"
"Fri Jan 10 2003 00:00:00 GMT+0530 (India Standard Time)","1097.50","1103.20","1077.40","1080.20"
"Mon Jan 13 2003 00:00:00 GMT+0530 (India Standard Time)","1080.20","1080.40","1070.70","1073.70"
"Tue Jan 14 2003 00:00:00 GMT+0530 (India Standard Time)","1072.70","1080.80","1070.30","1078.90"
"Wed Jan 15 2003 00:00:00 GMT+0530 (India Standard Time)","1077.90","1087.50","1077.80","1085.00"
"Thu Jan 16 2003 00:00:00 GMT+0530 (India Standard Time)","1085.00","1091.30","1083.90","1088.30"
"Fri Jan 17 2003 00:00:00 GMT+0530 (India Standard Time)","1089.30","1090.20","1083.20","1086.50"
"Mon Jan 20 2003 00:00:00 GMT+0530 (India Standard Time)","1086.20","1087.00","1074.20","1076.30"
"Tue Jan 21 2003 00:00:00 GMT+0530 (India Standard Time)","1076.30","1080.50","1074.00","1077.90"
"Wed Jan 22 2003 00:00:00 GMT+0530 (India Standard Time)","1078.40","1086.20","1073.50","1082.90"
"Thu Jan 23 2003 00:00:00 GMT+0530 (India Standard Time)","1081.40","1083.10","1069.00","1070.90"
"Fri Jan 24 2003 00:00:00 GMT+0530 (India Standard Time)","1070.50","1075.20","1053.40","1056.00"
"Mon Jan 27 2003 00:00:00 GMT+0530 (India Standard Time)","1057.80","1059.30","1030.30","1037.60"
"Tue Jan 28 2003 00:00:00 GMT+0530 (India Standard Time)","1036.30","1047.90","1026.70","1046.20"
"Wed Jan 29 2003 00:00:00 GMT+0530 (India Standard Time)","1059.80","1059.80","1033.30","1037.20"
"Thu Jan 30 2003 00:00:00 GMT+0530 (India Standard Time)","1037.10","1050.50","1031.30","1034.50"
"Fri Jan 31 2003 00:00:00 GMT+0530 (India Standard Time)","1034.70","1044.20","1026.20","1041.80"
"Mon Feb 03 2003 00:00:00 GMT+0530 (India Standard Time)","1040.20","1056.50","1036.50","1055.30"
"Tue Feb 04 2003 00:00:00 GMT+0530 (India Standard Time)","1056.50","1063.70","1050.40","1054.80"
"Wed Feb 05 2003 00:00:00 GMT+0530 (India Standard Time)","1054.30","1054.60","1041.70","1047.40"
"Thu Feb 06 2003 00:00:00 GMT+0530 (India Standard Time)","1047.20","1065.90","1043.70","1063.50"
"Fri Feb 07 2003 00:00:00 GMT+0530 (India Standard Time)","1063.70","1065.80","1055.50","1057.50"
"Mon Feb 10 2003 00:00:00 GMT+0530 (India Standard Time)","1058.20","1058.70","1047.10","1048.50"
"Tue Feb 11 2003 00:00:00 GMT+0530 (India Standard Time)","1048.50","1055.80","1044.50","1048.00"
"Wed Feb 12 2003 00:00:00 GMT+0530 (India Standard Time)","1048.10","1051.00","1040.40","1044.40"
"Fri Feb 14 2003 00:00:00 GMT+0530 (India Standard Time)","1044.40","1047.00","1034.00","1036.00"
"Mon Feb 17 2003 00:00:00 GMT+0530 (India Standard Time)","1036.20","1060.50","1036.20","1058.20"
"Tue Feb 18 2003 00:00:00 GMT+0530 (India Standard Time)","1058.90","1065.10","1057.50","1059.30"
"Wed Feb 19 2003 00:00:00 GMT+0530 (India Standard Time)","1059.30","1068.80","1059.30","1064.30"
"Thu Feb 20 2003 00:00:00 GMT+0530 (India Standard Time)","1064.10","1071.70","1058.30","1065.50"
"Fri Feb 21 2003 00:00:00 GMT+0530 (India Standard Time)","1065.50","1069.20","1061.00","1066.00"
"Mon Feb 24 2003 00:00:00 GMT+0530 (India Standard Time)","1066.20","1075.50","1066.20","1070.10"
"Tue Feb 25 2003 00:00:00 GMT+0530 (India Standard Time)","1070.00","1073.20","1054.90","1055.50"
"Wed Feb 26 2003 00:00:00 GMT+0530 (India Standard Time)","1055.50","1059.50","1048.20","1049.60"
"Thu Feb 27 2003 00:00:00 GMT+0530 (India Standard Time)","1049.50","1057.40","1044.90","1052.90"
"Fri Feb 28 2003 00:00:00 GMT+0530 (India Standard Time)","1053.60","1068.60","1053.60","1063.40"
"Mon Mar 03 2003 00:00:00 GMT+0530 (India Standard Time)","1063.50","1070.80","1057.50","1058.80"
"Tue Mar 04 2003 00:00:00 GMT+0530 (India Standard Time)","1058.70","1058.70","1045.20","1046.50"
"Wed Mar 05 2003 00:00:00 GMT+0530 (India Standard Time)","1046.50","1046.50","1029.90","1040.70"
"Thu Mar 06 2003 00:00:00 GMT+0530 (India Standard Time)","1040.30","1040.70","1029.50","1031.20"
"Fri Mar 07 2003 00:00:00 GMT+0530 (India Standard Time)","1031.00","1031.00","1014.30","1017.10"
"Mon Mar 10 2003 00:00:00 GMT+0530 (India Standard Time)","1017.10","1021.50","1004.30","1006.70"
"Tue Mar 11 2003 00:00:00 GMT+0530 (India Standard Time)","1006.60","1016.70","998.90","1014.50"
"Wed Mar 12 2003 00:00:00 GMT+0530 (India Standard Time)","1014.20","1017.70","1000.00","1001.70"
"Thu Mar 13 2003 00:00:00 GMT+0530 (India Standard Time)","1001.50","1006.40","994.20","999.60"
"Mon Mar 17 2003 00:00:00 GMT+0530 (India Standard Time)","999.70","1000.80","982.70","993.00"
"Wed Mar 19 2003 00:00:00 GMT+0530 (India Standard Time)","993.30","1011.40","992.90","1003.90"
"Thu Mar 20 2003 00:00:00 GMT+0530 (India Standard Time)","1003.40","1028.90","1001.70","1025.20"
